,frame_index,car_id,car_type,speed
260,105,20,car,200.0
261,105,21,car,380.0
262,105,22,truck,100.0
263,105,23,truck,100.0
264,106,5,car,420.0
265,106,20,car,160.0
266,106,21,car,360.0
267,106,22,truck,100.0
268,106,23,truck,100.0
269,107,5,car,460.0
270,107,10,car,140.0
271,107,20,car,160.0
272,107,21,car,340.0
273,107,22,truck,100.0
274,107,23,truck,100.0
275,108,5,car,480.0
276,108,20,car,140.0
277,108,21,car,340.0
278,108,23,truck,120.0
279,109,5,car,520.0
280,109,20,car,160.0
281,109,21,car,320.0
282,109,23,truck,100.0
283,110,5,car,560.0
284,110,10,car,160.0
285,110,20,car,160.0
286,110,21,car,280.0
287,110,22,truck,100.0
288,110,23,truck,100.0
289,111,5,car,600.0
290,111,10,car,160.0
291,111,21,car,260.0
292,111,22,truck,80.0
293,111,23,truck,100.0
294,112,5,car,640.0
295,112,10,car,160.0
296,112,20,car,160.0
297,112,21,car,280.0
298,112,22,truck,80.0
299,113,5,car,660.0
300,113,10,car,160.0
301,113,20,car,160.0
302,113,21,car,280.0
303,114,5,car,740.0
304,114,10,car,140.0
305,114,20,car,140.0
306,114,21,car,260.0
307,115,5,car,800.0
308,115,10,car,140.0
309,115,21,car,280.0
310,116,5,car,820.0
311,116,10,car,160.0
312,116,21,car,260.0
313,116,22,truck,80.0
314,117,5,car,880.0
315,117,10,car,180.0
316,117,21,car,260.0
317,118,5,car,940.0
318,118,10,car,180.0
319,118,21,car,260.0
320,118,22,truck,140.0
321,119,5,car,1080.0
322,119,10,car,180.0
323,119,21,car,240.0
324,119,22,truck,140.0
325,119,23,truck,80.0
326,120,10,car,200.0
327,120,21,car,240.0
328,121,10,car,200.0
329,121,21,car,220.0
330,122,10,car,220.0
331,122,21,car,180.0
332,122,23,truck,100.0
333,123,10,car,240.0
334,123,21,car,200.0
335,123,23,truck,80.0
336,124,10,car,200.0
337,124,21,car,200.0
338,124,22,truck,80.0
339,125,10,car,220.0
340,125,21,car,180.0
341,125,22,truck,80.0
342,126,10,car,260.0
343,126,21,car,180.0
344,127,10,car,260.0
345,127,17,car,140.0
346,127,21,car,160.0
347,128,10,car,260.0
348,128,21,car,160.0
349,129,10,car,260.0
350,129,21,car,180.0
351,130,10,car,300.0
352,130,21,car,200.0
353,131,10,car,320.0
354,131,21,car,180.0
355,132,10,car,320.0
356,132,21,car,140.0
357,133,10,car,340.0
358,133,21,car,140.0
359,134,10,car,380.0
360,134,21,car,140.0
361,135,10,car,360.0
362,135,17,car,140.0
363,135,25,truck,260.0
